iter	RMSE
0	2.278615642
1	2.115598584
2	1.966346182
3	1.829024222
4	1.703798411
5	1.589224821
6	1.486371953
7	1.392329876
8	1.306548206
9	1.228765894
10	1.158712736
11	1.094922938
12	1.035694452
13	0.9827568737
14	0.9372808471
15	0.8948833853
16	0.8579055917
17	0.82387496
18	0.7935962669
19	0.7676049225
20	0.7433541876
21	0.7220938844
22	0.7040200467
23	0.6872711841
24	0.6724602533
25	0.6603127978
26	0.6485901024
27	0.638898955
28	0.6293419331
29	0.6205679422
30	0.6123802559
31	0.6056550222
32	0.5993448626
33	0.594207188
34	0.5892199925
35	0.5843624835
36	0.5802215127
37	0.5758562119
38	0.5727777857
39	0.5700408404
40	0.5671622735
41	0.5644794815
42	0.5616602453
43	0.5583751238
44	0.5561377201
45	0.5534927867
46	0.551000854
47	0.5485261369
48	0.5463559984
49	0.54406223
50	0.5419264011
51	0.5401539995
52	0.5383624039
53	0.5365538977
54	0.5346064721
55	0.5334683084
56	0.5316201416
57	0.5296162723
58	0.5278317562
59	0.5265875451
60	0.5248841422
61	0.5234583339
62	0.5222525354
63	0.5212229161
64	0.5196200753
65	0.5182087895
66	0.51618852
67	0.5150062966
68	0.5132935242
69	0.5119425007
70	0.5105298352
71	0.5089883165
72	0.507267986
73	0.5057617069
74	0.5039894879
