iter	Passed	Remaining
0	53	3991
1	59	2178
2	65	1571
3	69	1242
4	75	1050
5	79	914
6	85	826
7	88	740
8	91	673
9	94	616
10	97	567
11	99	523
12	101	486
13	104	453
14	106	424
15	108	399
16	109	375
17	111	353
18	112	332
19	114	314
20	115	297
21	117	282
22	118	268
23	120	255
24	121	243
25	123	233
26	125	222
27	126	212
28	128	203
29	129	194
30	130	185
31	132	177
32	133	170
33	135	163
34	136	156
35	138	149
36	140	144
37	141	137
38	143	132
39	144	126
40	146	121
41	147	115
42	149	111
43	150	106
44	151	101
45	153	96
46	155	92
47	156	88
48	158	84
49	159	79
50	161	75
51	162	71
52	164	68
53	165	64
54	167	60
55	169	57
56	170	53
57	172	50
58	174	47
59	175	43
60	177	40
61	178	37
62	180	34
63	182	31
64	183	28
65	184	25
66	186	22
67	188	19
68	189	16
69	191	13
70	192	10
71	194	8
72	195	5
73	197	2
74	198	0
